"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"1977年","32000","島根県","662662","","","","14.4","","29.6","","-1.2","","33","","211","","152",""
"1977年","33000","岡山県","708487","","","","14.9","","31.4","","-3.2","","59","","138","","91",""
"1977年","34000","広島県","846169","","","","15.1","","30.1","","-1.1","","51","","152","","92",""
"1977年","35000","山口県","609871","","","","14.7","","30.9","","-2.4","","58","","175","","107",""
"1977年","36000","徳島県","414514","","","","16.1","","30.5","","-0.1","","75","","147","","100",""
"1977年","37000","香川県","188014","","","","15.4","","31.3","","-1.4","","68","","151","","93",""
"1977年","38000","愛媛県","566606","","","","15.8","","30.8","","-0.1","","61","","150","","95",""
"1977年","39000","高知県","710673","","","","16.6","","31.8","","-0.6","","69","","163","","115",""
"1977年","40000","福岡県","495130","","","","16.3","","31.3","","0.8","","43","","180","","112",""
"1977年","41000","佐賀県","243157","","","","16.1","","31.7","","-0.7","","63","","171","","95",""
"1977年","42000","長崎県","410450","","","","16.8","","30.6","","0.9","","61","","166","","102",""
"1977年","43000","熊本県","739915","","","","16.4","","32.4","","-2.2","","52","","168","","107",""
"1977年","44000","大分県","633129","","","","15.9","","31.5","","-0.6","","57","","151","","93",""
"1977年","45000","宮崎県","773418","","","","17.1","","31.8","","0.3","","75","","166","","116",""
"1977年","46000","鹿児島県","915727","","","","17.9","","32.6","","0.9","","55","","159","","110",""
"1977年","47000","沖縄県","224898","","","","22.6","","31.1","","12.5","","23","","182","","99",""
"1978年","01000","北海道","7851878","","","","8.2","","27.8","","-12.0","","33","","183","","137",""
"1978年","02000","青森県","961533","","","","10.0","","29.2","","-7.9","","25","","218","","160",""
"1978年","03000","岩手県","1527790","","","","10.2","","31.0","","-8.7","","30","","195","","106",""
"1978年","04000","宮城県","729108","","","","12.2","","29.8","","-3.8","","44","","154","","86",""
"1978年","05000","秋田県","1161060","","","","11.4","","29.4","","-5.2","","23","","229","","167",""
"1978年","06000","山形県","932655","","","","11.5","","32.3","","-5.8","","38","","195","","120",""
"1978年","07000","福島県","1378207","","","","12.8","","32.2","","-4.3","","36","","156","","87",""
"1978年","08000","茨城県","608982","","","","13.5","","32.3","","-4.3","","81","","151","","80",""
"1978年","09000","栃木県","641379","","","","13.4","","32.2","","-5.4","","62","","170","","90",""
"1978年","10000","群馬県","635561","","","","14.3","","33.7","","-2.8","","73","","140","","84",""
"1978年","11000","埼玉県","379932","","","","14.6","","34.2","","-2.0","","85","","140","","76",""
"1978年","12000","千葉県","512894","","","","15.4","","31.6","","-0.3","","75","","152","","79",""
"1978年","13000","東京都","214551","","","","16.1","","33.0","","0.6","","71","","133","","81",""
"1978年","14000","神奈川県","239592","","","","15.5","","32.1","","0.2","","80","","137","","90",""
"1978年","15000","新潟県","1257817","","","","13.6","","31.5","","-2.1","","39","","220","","150",""
"1978年","16000","富山県","425216","","","","13.9","","32.3","","-2.5","","49","","196","","165",""
"1978年","17000","石川県","419585","","","","14.4","","32.8","","-1.3","","45","","196","","170",""
"1978年","18000","福井県","418918","","","","14.6","","33.7","","-1.8","","64","","190","","163",""
"1978年","19000","山梨県","446348","","","","14.1","","33.7","","-3.2","","69","","123","","76",""
"1978年","20000","長野県","1358462","","","","11.6","","32.2","","-5.5","","46","","169","","106",""
"1978年","21000","岐阜県","1059575","","","","15.7","","34.3","","-1.1","","83","","137","","115",""
"1978年","22000","静岡県","777259","","","","16.5","","32.0","","0.5","","77","","151","","106",""
"1978年","23000","愛知県","512435","","","","15.4","","33.7","","-1.0","","72","","126","","95",""
"1978年","24000","三重県","577524","","","","15.3","","32.3","","0.0","","59","","139","","90",""
"1978年","25000","滋賀県","401600","","","","14.6","","33.2","","-0.8","","57","","184","","124",""
"1978年","26000","京都府","461284","","","","15.7","","34.8","","-0.1","","56","","132","","100",""
"1978年","27000","大阪府","186227","","","","16.8","","34.5","","1.5","","49","","139","","74",""
"1978年","28000","兵庫県","837085","","","","15.9","","32.7","","0.5","","61","","128","","71",""
"1978年","29000","奈良県","369215","","","","14.8","","34.5","","-1.3","","61","","152","","87",""
"1978年","30000","和歌山県","472274","","","","16.3","","32.3","","1.2","","55","","145","","79",""
"1978年","31000","鳥取県","349234","","","","14.9","","33.9","","-0.9","","41","","203","","136",""
"1978年","32000","島根県","662699","","","","14.9","","33.2","","-0.4","","47","","186","","137",""
"1978年","33000","岡山県","708605","","","","15.2","","33.4","","-1.8","","79","","132","","75",""
"1978年","34000","広島県","846202","","","","15.4","","32.4","","0.2","","61","","128","","83",""
"1978年","35000","山口県","609982","","","","15.1","","32.7","","-0.7","","55","","150","","99",""
"1978年","36000","徳島県","414514","","","","16.2","","31.9","","1.0","","72","","131","","96",""
"1978年","37000","香川県","188032","","","","15.8","","32.9","","0.2","","64","","139","","77",""
"1978年","38000","愛媛県","566654","","","","16.1","","32.4","","1.0","","67","","135","","77",""
"1978年","39000","高知県","710677","","","","16.5","","31.5","","0.3","","62","","159","","115",""
"1978年","40000","福岡県","495247","","","","16.8","","32.9","","2.6","","44","","150","","90",""
"1978年","41000","佐賀県","243166","","","","16.6","","33.7","","1.4","","59","","158","","78",""
"1978年","42000","長崎県","410562","","","","17.2","","32.2","","3.2","","74","","147","","100",""
"1978年","43000","熊本県","739932","","","","16.6","","33.5","","0.3","","61","","146","","80",""
"1978年","44000","大分県","633139","","","","16.3","","32.4","","1.3","","73","","136","","78",""
"1978年","45000","宮崎県","773418","","","","17.1","","31.5","","2.6","","73","","158","","120",""
"1978年","46000","鹿児島県","915938","","","","17.9","","32.6","","2.7","","61","","151","","105",""
"1978年","47000","沖縄県","224944","","","","22.1","","30.4","","13.1","","14","","219","","152",""
"1979年","01000","北海道","7851910","","","","8.4","","26.7","","-8.8","","28","","196","","129",""
"1979年","02000","青森県","961545","","","","10.2","","27.6","","-4.6","","22","","217","","169",""
"1979年","03000","岩手県","1527794","","","","10.5","","28.1","","-5.3","","21","","209","","130",""
"1979年","04000","宮城県","729114","","","","13.1","","28.9","","-1.5","","40","","165","","115",""
"1979年","05000","秋田県","1161107","","","","11.7","","28.2","","-2.6","","28","","231","","170",""
"1979年","06000","山形県","932656","","","","12.1","","30.0","","-3.2","","29","","210","","142",""
"1979年","07000","福島県","1378208","","","","13.6","","30.6","","-1.6","","38","","177","","98",""
"1979年","08000","茨城県","608999","","","","14.6","","29.7","","-2.6","","55","","162","","109",""
"1979年","09000","栃木県","641379","","","","14.3","","30.0","","-3.5","","56","","188","","119",""
"1979年","10000","群馬県","635561","","","","15.1","","30.8","","-0.2","","65","","163","","89",""
"1979年","11000","埼玉県","379932","","","","15.4","","31.1","","-1.2","","75","","161","","93",""
"1979年","12000","千葉県","513259","","","","16.2","","30.2","","1.0","","63","","177","","91",""
"1979年","13000","東京都","215433","","","","16.9","","31.0","","2.4","","64","","170","","99",""
"1979年","14000","神奈川県","239708","","","","16.2","","30.5","","2.0","","54","","178","","101",""
"1979年","15000","新潟県","1257828","","","","14.1","","29.5","","0.6","","19","","236","","200",""
"1979年","16000","富山県","425216","","","","14.4","","30.1","","0.9","","26","","225","","156",""
"1979年","17000","石川県","419590","","","","14.8","","30.9","","1.7","","35","","220","","186",""
"1979年","18000","福井県","418927","","","","15.1","","31.4","","1.3","","40","","215","","169",""
"1979年","19000","山梨県","446348","","","","14.6","","31.6","","-3.2","","62","","153","","93",""
"1979年","20000","長野県","1358462","","","","12.4","","29.8","","-3.4","","35","","184","","98",""
"1979年","21000","岐阜県","1059575","","","","16.2","","33.1","","1.2","","68","","172","","116",""
"1979年","22000","静岡県","777263","","","","17.0","","30.9","","1.8","","69","","165","","118",""
"1979年","23000","愛知県","512658","","","","15.9","","32.6","","1.3","","52","","155","","106",""
"1979年","24000","三重県","577619","","","","15.6","","31.3","","1.2","","56","","160","","114",""
"1979年","25000","滋賀県","401600","","","","15.0","","32.1","","1.1","","47","","202","","136",""
"1979年","26000","京都府","461284","","","","16.0","","33.2","","1.5","","50","","147","","119",""
"1979年","27000","大阪府","186301","","","","17.1","","33.5","","3.2","","49","","167","","107",""
"1979年","28000","兵庫県","837205","","","","16.3","","32.0","","3.3","","63","","156","","100",""
"1979年","29000","奈良県","369215","","","","15.0","","33.1","","0.1","","45","","172","","109",""
"1979年","30000","和歌山県","472314","","","","16.6","","32.5","","2.8","","49","","162","","99",""
"1979年","31000","鳥取県","349234","","","","15.1","","31.6","","1.4","","29","","227","","149",""
"1979年","32000","島根県","662706","","","","14.9","","30.7","","2.0","","37","","204","","137",""
"1979年","33000","岡山県","708632","","","","15.4","","32.5","","-0.5","","68","","152","","84",""
"1979年","34000","広島県","846256","","","","15.5","","31.0","","2.0","","58","","147","","91",""
"1979年","35000","山口県","610033","","","","15.1","","31.3","","0.4","","46","","171","","107",""
"1979年","36000","徳島県","414519","","","","16.5","","31.5","","3.2","","66","","139","","101",""
"1979年","37000","香川県","188036","","","","16.0","","32.2","","1.9","","61","","167","","94",""
"1979年","38000","愛媛県","566722","","","","16.2","","31.7","","3.0","","60","","163","","107",""
"1979年","39000","高知県","710679","","","","16.8","","31.7","","2.3","","70","","165","","112",""
"1979年","40000","福岡県","495343","","","","16.7","","31.7","","4.2","","55","","170","","110",""
"1979年","41000","佐賀県","243168","","","","16.5","","32.6","","2.8","","64","","162","","100",""
"1979年","42000","長崎県","410642","","","","17.1","","31.4","","5.1","","69","","167","","117",""
"1979年","43000","熊本県","741010","","","","16.6","","32.9","","1.7","","55","","161","","106",""
"1979年","44000","大分県","633154","","","","16.2","","31.6","","2.3","","70","","154","","96",""
"1979年","45000","宮崎県","773418","","","","17.2","","31.5","","3.6","","81","","165","","120",""
"1979年","46000","鹿児島県","916270","","","","17.9","","32.5","","3.8","","56","","162","","129",""
"1979年","47000","沖縄県","224946","","","","22.3","","31.4","","14.6","","7","","219","","140",""
"1980年","01000","北海道","7852081","","5392459","","7.9","","23.7","","-9.4","","30","","209","","155",""
"1980年","02000","青森県","961563","","637866","","9.4","","23.5","","-6.1","","22","","231","","165",""
"1980年","03000","岩手県","1527798","","1164422","","9.3","","25.3","","-7.8","","19","","207","","133",""
"1980年","04000","宮城県","729128","","418997","","11.4","","23.9","","-3.5","","33","","185","","112",""
"1980年","05000","秋田県","1161132","","825381","","10.9","","26.5","","-4.0","","12","","259","","177",""
"1980年","06000","山形県","932656","","645002","","10.7","","26.7","","-4.8","","18","","224","","152",""
"1980年","07000","福島県","1378265","","949742","","12.1","","27.4","","-2.9","","22","","180","","109",""
"1980年","08000","茨城県","609192","","209720","","13.0","","26.1","","-3.5","","79","","171","","117",""
"1980年","09000","栃木県","641379","","356561","","12.9","","26.6","","-4.4","","60","","185","","123",""
"1980年","10000","群馬県","635561","","410598","","13.5","","27.6","","-2.3","","76","","167","","108",""
"1980年","11000","埼玉県","379932","","128391","","13.9","","28.0","","-2.1","","84","","181","","113",""
"1980年","12000","千葉県","514260","","168780","","14.9","","26.5","","0.6","","73","","189","","109",""
"1980年","13000","東京都","215635","","79426","","15.4","","27.4","","1.3","","73","","187","","115",""
"1980年","14000","神奈川県","239710","","94088","","15.0","","26.9","","0.9","","61","","182","","114",""
"1980年","15000","新潟県","1257830","","785143","","12.9","","27.2","","-0.8","","20","","247","","190",""
"1980年","16000","富山県","425216","","241110","","12.8","","27.1","","-1.6","","23","","242","","184",""
"1980年","17000","石川県","419682","","280954","","13.5","","27.9","","-0.6","","20","","250","","200",""
"1980年","18000","福井県","418938","","310681","","13.7","","28.5","","-1.1","","33","","240","","202",""
"1980年","19000","山梨県","446348","","347097","","13.7","","29.1","","-3.3","","68","","170","","105",""
"1980年","20000","長野県","1358462","","1022918","","11.1","","27.4","","-4.6","","24","","204","","120",""
"1980年","21000","岐阜県","1059575","","854089","","14.9","","29.2","","-0.7","","59","","167","","131",""
"1980年","22000","静岡県","777264","","496396","","15.9","","28.4","","0.8","","76","","182","","118",""
"1980年","23000","愛知県","513027","","226844","","14.7","","29.0","","-0.5","","52","","162","","112",""
"1980年","24000","三重県","577649","","380510","","14.5","","27.8","","-0.2","","57","","167","","119",""
"1980年","25000","滋賀県","401600","","206689","","13.7","","28.3","","0.0","","34","","221","","159",""
"1980年","26000","京都府","461284","","345778","","14.8","","29.4","","-0.4","","49","","179","","120",""
"1980年","27000","大阪府","186416","","58031","","15.9","","30.6","","1.4","","43","","168","","117",""
"1980年","28000","兵庫県","837316","","575714","","15.0","","29.2","","0.2","","56","","164","","120",""
"1980年","29000","奈良県","369215","","288033","","14.0","","29.6","","-1.4","","36","","176","","113",""
"1980年","30000","和歌山県","472318","","362949","","15.7","","29.9","","0.9","","37","","183","","118",""
"1980年","31000","鳥取県","349234","","258012","","13.7","","27.6","","-0.8","","19","","245","","184",""
"1980年","32000","島根県","662718","","521218","","13.5","","26.7","","-0.3","","32","","247","","165",""
"1980年","33000","岡山県","708670","","489274","","14.1","","28.4","","-2.2","","70","","168","","111",""
"1980年","34000","広島県","846288","","623276","","14.3","","27.2","","-0.2","","46","","176","","118",""
"1980年","35000","山口県","610118","","432192","","14.1","","28.1","","-1.5","","39","","212","","140",""
"1980年","36000","徳島県","414523","","311968","","15.4","","28.6","","1.1","","61","","160","","120",""
"1980年","37000","香川県","188047","","89761","","14.7","","28.4","","-0.1","","39","","168","","118",""
"1980年","38000","愛媛県","566788","","399462","","15.1","","28.6","","0.4","","54","","184","","135",""
"1980年","39000","高知県","710682","","588511","","15.9","","29.4","","-0.1","","57","","171","","135",""
"1980年","40000","福岡県","495403","","222184","","15.5","","28.1","","2.2","","38","","215","","130",""
"1980年","41000","佐賀県","243271","","105081","","15.6","","29.2","","0.5","","48","","187","","117",""
"1980年","42000","長崎県","410736","","237084","","16.1","","28.9","","2.2","","40","","206","","143",""
"1980年","43000","熊本県","740614","","455993","","15.6","","29.6","","-0.6","","45","","198","","123",""
"1980年","44000","大分県","633171","","448746","","15.2","","28.1","","0.5","","57","","167","","112",""
"1980年","45000","宮崎県","773420","","582484","","16.7","","30.5","","1.1","","74","","167","","129",""
"1980年","46000","鹿児島県","916281","","584197","","17.4","","31.1","","1.9","","50","","183","","140",""
"1980年","47000","沖縄県","224991","","114409","","22.5","","31.7","","13.0","","16","","206","","125",""
"1981年","01000","北海道","7852130","","","","7.8","","25.9","","-8.6","","13","","155","","153",""
"1981年","02000","青森県","961619","","","","9.1","","26.7","","-5.5","","16","","183","","183",""
"1981年","03000","岩手県","1527803","","","","9.0","","27.2","","-8.2","","16","","163","","154",""
"1981年","04000","宮城県","729133","","","","11.2","","27.4","","-3.3","","25","","111","","102",""
"1981年","05000","秋田県","1161136","","","","10.6","","27.1","","-3.8","","6","","213","","177",""
"1981年","06000","山形県","932656","","","","10.4","","30.1","","-4.7","","17","","178","","138",""
"1981年","07000","福島県","1378333","","","","11.8","","29.8","","-3.3","","17","","140","","113",""
"1981年","08000","茨城県","609347","","","","12.3","","29.0","","-4.9","","63","","135","","89",""
"1981年","09000","栃木県","641379","","","","12.4","","29.5","","-6.1","","41","","152","","102",""
"1981年","10000","群馬県","635561","","","","13.4","","30.3","","-2.9","","55","","127","","100",""
"1981年","11000","埼玉県","379932","","","","13.7","","31.3","","-2.7","","66","","141","","87",""
"1981年","12000","千葉県","514301","","","","14.3","","29.5","","0.1","","66","","162","","95",""
"1981年","13000","東京都","215542","","","","15.0","","30.0","","0.6","","51","","137","","94",""
"1981年","14000","神奈川県","239952","","","","14.9","","29.6","","0.5","","41","","142","","104",""
"1981年","15000","新潟県","1257830","","","","12.6","","29.5","","-0.7","","12","","204","","191",""
"1981年","16000","富山県","425216","","","","12.7","","30.3","","-2.2","","25","","190","","171",""
"1981年","17000","石川県","419693","","","","13.4","","31.0","","-1.2","","21","","181","","192",""
"1981年","18000","福井県","418938","","","","13.6","","31.3","","-1.2","","15","","202","","188",""
"1981年","19000","山梨県","446348","","","","13.4","","31.1","","-5.3","","67","","137","","91",""
"1981年","20000","長野県","1358462","","","","10.7","","30.1","","-6.4","","28","","133","","105",""
"1981年","21000","岐阜県","1059575","","","","14.5","","31.8","","-1.5","","48","","149","","127",""
